CountryName,Region,TotalQuantity,DistinctOrders
China,ASIA (EX. NEAR EAST),3628,161
Papua New Guinea,OCEANIA,3186,143
Saint Helena,SUB-SAHARAN AFRICA,3096,147
Belgium,WESTERN EUROPE,2918,133
Panama,LATIN AMER. & CARIB,2690,117
Anguilla,LATIN AMER. & CARIB,2669,111
Equatorial Guinea,SUB-SAHARAN AFRICA,2594,121
Jersey,WESTERN EUROPE,2519,120
Norway,WESTERN EUROPE,2488,110
Chad,SUB-SAHARAN AFRICA,2340,118
Tunisia,NORTHERN AFRICA,2306,112
Togo,SUB-SAHARAN AFRICA,2275,109
Bulgaria,EASTERN EUROPE,2182,100
Saint Lucia,LATIN AMER. & CARIB,2089,101
Yemen,NEAR EAST,2072,92
Mexico,LATIN AMER. & CARIB,2071,92
Kenya,SUB-SAHARAN AFRICA,2019,99
Belarus,C.W. OF IND. STATES,1969,96
Taiwan,ASIA (EX. NEAR EAST),1946,80
Malawi,SUB-SAHARAN AFRICA,1937,98
Ukraine,C.W. OF IND. STATES,1934,83
Georgia,C.W. OF IND. STATES,1918,78
Solomon Islands,OCEANIA,1896,84
Sweden,WESTERN EUROPE,1886,95
Canada,NORTHERN AMERICA,1886,95
San Marino,WESTERN EUROPE,1884,91
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,1861,83
Spain,WESTERN EUROPE,1850,90
Armenia,C.W. OF IND. STATES,1847,86
Uruguay,LATIN AMER. & CARIB,1845,91
"Bahamas, The",LATIN AMER. & CARIB,1810,84
South Africa,SUB-SAHARAN AFRICA,1796,78
Libya,NORTHERN AFRICA,1770,83
Kuwait,NEAR EAST,1759,90
Honduras,LATIN AMER. & CARIB,1754,81
Sao Tome & Principe,SUB-SAHARAN AFRICA,1743,79
Fiji,OCEANIA,1741,88
Afghanistan,ASIA (EX. NEAR EAST),1727,91
Reunion,SUB-SAHARAN AFRICA,1710,93
Ghana,SUB-SAHARAN AFRICA,1704,94
Chile,LATIN AMER. & CARIB,1703,90
United States,NORTHERN AMERICA,1669,83
Saint Kitts & Nevis,LATIN AMER. & CARIB,1656,89
Djibouti,SUB-SAHARAN AFRICA,1653,83
Sri Lanka,ASIA (EX. NEAR EAST),1634,76
Morocco,NORTHERN AFRICA,1625,75
Azerbaijan,C.W. OF IND. STATES,1607,82
Malaysia,ASIA (EX. NEAR EAST),1601,90
Seychelles,SUB-SAHARAN AFRICA,1591,74
Uzbekistan,C.W. OF IND. STATES,1581,74
Iraq,NEAR EAST,1574,80
Palau,OCEANIA,1536,61
Albania,EASTERN EUROPE,1528,71
Australia,OCEANIA,1522,72
Lebanon,NEAR EAST,1520,78
New Zealand,OCEANIA,1491,68
Comoros,SUB-SAHARAN AFRICA,1470,72
Italy,WESTERN EUROPE,1465,68
Turks & Caicos Is,LATIN AMER. & CARIB,1420,74
Venezuela,LATIN AMER. & CARIB,1416,62
Jordan,NEAR EAST,1403,63
Suriname,LATIN AMER. & CARIB,1387,58
Zimbabwe,SUB-SAHARAN AFRICA,1382,75
Zambia,SUB-SAHARAN AFRICA,1349,69
Madagascar,SUB-SAHARAN AFRICA,1334,62
Austria,WESTERN EUROPE,1328,64
Nepal,ASIA (EX. NEAR EAST),1283,57
Gibraltar,WESTERN EUROPE,1277,64
Trinidad & Tobago,LATIN AMER. & CARIB,1267,60
Kyrgyzstan,C.W. OF IND. STATES,1247,55
Cayman Islands,LATIN AMER. & CARIB,1240,61
Niger,SUB-SAHARAN AFRICA,1207,56
Hungary,EASTERN EUROPE,1199,55
Guadeloupe,LATIN AMER. & CARIB,1198,63
Guatemala,LATIN AMER. & CARIB,1191,52
Central African Rep.,SUB-SAHARAN AFRICA,1187,57
Netherlands,WESTERN EUROPE,1184,59
Haiti,LATIN AMER. & CARIB,1183,52
Western Sahara,NORTHERN AFRICA,1165,56
United Kingdom,WESTERN EUROPE,1154,53
"Korea, South",ASIA (EX. NEAR EAST),1145,55
Dominica,LATIN AMER. & CARIB,1140,58
Guinea-Bissau,SUB-SAHARAN AFRICA,1118,52
Antigua & Barbuda,LATIN AMER. & CARIB,1118,53
Bosnia & Herzegovina,EASTERN EUROPE,1108,53
Belize,LATIN AMER. & CARIB,1095,54
Malta,WESTERN EUROPE,1091,51
Aruba,LATIN AMER. & CARIB,1091,51
Burkina Faso,SUB-SAHARAN AFRICA,1091,52
Saudi Arabia,NEAR EAST,1090,52
French Polynesia,OCEANIA,1081,46
Czech Republic,EASTERN EUROPE,1078,51
Senegal,SUB-SAHARAN AFRICA,1066,48
Turkmenistan,C.W. OF IND. STATES,1057,50
"Micronesia, Fed. St.",OCEANIA,1054,42
Hong Kong,ASIA (EX. NEAR EAST),1051,48
Sudan,SUB-SAHARAN AFRICA,1031,53
Portugal,WESTERN EUROPE,1026,57
Slovenia,EASTERN EUROPE,1017,53
Montserrat,LATIN AMER. & CARIB,1015,47
Mauritania,SUB-SAHARAN AFRICA,1014,55
American Samoa,OCEANIA,1003,45
Serbia,EASTERN EUROPE,995,50
N. Mariana Islands,OCEANIA,970,38
"Gambia, The",SUB-SAHARAN AFRICA,963,48
French Guiana,LATIN AMER. & CARIB,949,45
Maldives,ASIA (EX. NEAR EAST),934,46
Burundi,SUB-SAHARAN AFRICA,930,42
Namibia,SUB-SAHARAN AFRICA,928,46
Cape Verde,SUB-SAHARAN AFRICA,926,47
Lesotho,SUB-SAHARAN AFRICA,923,42
Ethiopia,SUB-SAHARAN AFRICA,911,52
Uganda,SUB-SAHARAN AFRICA,910,41
Liberia,SUB-SAHARAN AFRICA,903,43
Pakistan,ASIA (EX. NEAR EAST),874,50
Lithuania,BALTICS,871,43
Cambodia,ASIA (EX. NEAR EAST),850,43
France,WESTERN EUROPE,817,43
Martinique,LATIN AMER. & CARIB,813,37
Algeria,NORTHERN AFRICA,809,42
Puerto Rico,LATIN AMER. & CARIB,799,43
Colombia,LATIN AMER. & CARIB,779,40
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,751,39
Benin,SUB-SAHARAN AFRICA,746,35
"Congo, Repub. of the",SUB-SAHARAN AFRICA,735,31
Sierra Leone,SUB-SAHARAN AFRICA,718,30
Germany,WESTERN EUROPE,682,25
Macau,ASIA (EX. NEAR EAST),677,31
New Caledonia,OCEANIA,670,31
Slovakia,EASTERN EUROPE,662,35
Nicaragua,LATIN AMER. & CARIB,658,28
Nauru,OCEANIA,647,25
Philippines,ASIA (EX. NEAR EAST),644,24
Somalia,SUB-SAHARAN AFRICA,640,33
Tonga,OCEANIA,637,33
Tanzania,SUB-SAHARAN AFRICA,637,29
British Virgin Is.,LATIN AMER. & CARIB,635,27
Wallis and Futuna,OCEANIA,632,30
Ireland,WESTERN EUROPE,631,31
Kazakhstan,C.W. OF IND. STATES,628,22
Bolivia,LATIN AMER. & CARIB,626,31
Guernsey,WESTERN EUROPE,622,27
Thailand,ASIA (EX. NEAR EAST),617,37
Ecuador,LATIN AMER. & CARIB,609,28
"Korea, North",ASIA (EX. NEAR EAST),590,29
Indonesia,ASIA (EX. NEAR EAST),578,30
Denmark,WESTERN EUROPE,576,29
Croatia,EASTERN EUROPE,562,29
Estonia,BALTICS,561,26
Vanuatu,OCEANIA,556,26
Monaco,WESTERN EUROPE,554,23
Latvia,BALTICS,547,27
Tuvalu,OCEANIA,541,30
Mongolia,ASIA (EX. NEAR EAST),531,24
Cote d'Ivoire,SUB-SAHARAN AFRICA,524,25
Gabon,SUB-SAHARAN AFRICA,516,26
Kiribati,OCEANIA,512,24
Faroe Islands,WESTERN EUROPE,502,24
Eritrea,SUB-SAHARAN AFRICA,500,18
Paraguay,LATIN AMER. & CARIB,493,29
Israel,NEAR EAST,489,24
Isle of Man,WESTERN EUROPE,485,22
Russia,C.W. OF IND. STATES,481,22
India,ASIA (EX. NEAR EAST),480,22
Mali,SUB-SAHARAN AFRICA,478,20
Costa Rica,LATIN AMER. & CARIB,475,29
Samoa,OCEANIA,455,29
Cameroon,SUB-SAHARAN AFRICA,452,21
Virgin Islands,LATIN AMER. & CARIB,447,24
Brazil,LATIN AMER. & CARIB,426,23
Moldova,C.W. OF IND. STATES,423,21
Egypt,NORTHERN AFRICA,401,19
Guyana,LATIN AMER. & CARIB,399,19
Barbados,LATIN AMER. & CARIB,381,19
Dominican Republic,LATIN AMER. & CARIB,380,19
Qatar,NEAR EAST,375,23
Tajikistan,C.W. OF IND. STATES,371,22
Guinea,SUB-SAHARAN AFRICA,362,18
Liechtenstein,WESTERN EUROPE,362,18
Cyprus,NEAR EAST,358,21
Swaziland,SUB-SAHARAN AFRICA,341,19
Syria,NEAR EAST,336,17
Switzerland,WESTERN EUROPE,333,17
Marshall Islands,OCEANIA,323,18
Finland,WESTERN EUROPE,312,19
Greece,WESTERN EUROPE,309,18
Oman,NEAR EAST,266,17
