OrderDate,TotalQuantity,DistinctOrders
2018-01-01,376,16
2018-01-02,230,10
2018-01-03,220,14
2018-01-04,517,21
2018-01-05,300,11
2018-01-06,238,15
2018-01-07,248,14
2018-01-08,221,10
2018-01-09,40,2
2018-01-10,219,7
2018-01-11,256,13
2018-01-12,72,5
2018-01-13,521,23
2018-01-14,477,23
2018-01-15,141,12
2018-01-16,417,23
2018-01-17,39,2
2018-01-18,11,2
2018-01-19,22,1
2018-01-20,321,12
2018-01-21,604,23
2018-01-22,343,14
2018-01-23,670,26
2018-01-24,281,15
2018-01-25,432,20
2018-01-26,240,11
2018-01-27,381,16
2018-01-28,503,26
2018-01-29,246,9
2018-01-30,221,16
2018-01-31,430,22
2018-02-01,87,4
2018-02-02,707,29
2018-02-03,294,14
2018-02-04,94,6
2018-02-05,119,4
2018-02-06,416,18
2018-02-07,449,21
2018-02-08,486,23
2018-02-09,375,17
2018-02-10,300,15
2018-02-11,478,22
2018-02-12,300,15
2018-02-13,146,7
2018-02-14,283,14
2018-02-15,246,11
2018-02-16,227,11
2018-02-17,530,20
2018-02-18,406,14
2018-02-19,560,25
2018-02-20,406,23
2018-02-21,507,23
2018-02-22,432,20
2018-02-23,87,5
2018-02-24,184,8
2018-02-25,582,24
2018-02-26,227,12
2018-02-27,266,11
2018-02-28,330,19
2018-03-01,302,13
2018-03-02,551,27
2018-03-03,145,8
2018-03-04,92,4
2018-03-05,118,4
2018-03-06,86,3
2018-03-07,371,19
2018-03-08,712,30
2018-03-09,614,27
2018-03-10,206,10
2018-03-11,60,5
2018-03-12,31,1
2018-03-13,215,9
2018-03-14,456,20
2018-03-15,342,13
2018-03-16,431,21
2018-03-17,505,27
2018-03-18,421,19
2018-03-19,337,20
2018-03-20,522,23
2018-03-21,66,4
2018-03-22,198,7
2018-03-23,289,13
2018-03-24,689,27
2018-03-25,460,20
2018-03-26,208,12
2018-03-27,59,4
2018-03-28,145,6
2018-03-29,547,25
2018-03-30,334,16
